name,Tb (K),a_acc,a_don,a_heavy,a_nC,a_nN,a_nO,logP(o/w),TPSA,Weight
167,237.28999,0,0,3,2,0,0,0.74599999,0,48.059998
168,311.47,0,0,3,2,0,0,1.391,0,108.966
169,319.82001,0,0,4,3,0,0,1.799,0,78.542
170,308.64999,0,0,4,3,0,0,1.647,0,78.542
171,363.45001,0,0,5,3,0,0,2.3473599,0,112.987
172,369.56,0,0,5,3,0,0,1.86,0,112.987
173,259.31,0,0,3,2,0,0,1.086,0,62.498997
174,357.89001,0,0,7,6,0,0,2.059,0,96.103996
175,404.84,0,0,7,6,0,0,2.4979999,0,112.559
176,429.22,0,0,7,6,0,0,2.704,0,157.00999
177,429.22,0,0,7,6,0,0,2.704,0,157.00999
178,121.39,2,1,2,0,1,1,0.294,40.919998,31.014
179,85.050003,0,0,2,0,0,0,0.91799998,0,37.995998
180,331.89999,0,0,2,0,0,0,2.2079999,0,159.808
181,191.03,0,0,4,1,0,0,0.99276,0,70.013
182,145.14999,0,0,5,1,0,0,1.80852,0,88.002998
183,312.92999,0,0,3,1,0,0,1.30436,0,84.932999
184,370.04999,0,0,3,1,0,0,1.71636,0,173.83499
185,422.38,0,0,4,1,0,0,2.3560801,0,252.731
186,232.36,0,0,4,1,0,0,1.43176,0,86.467995
187,282.06,0,0,4,1,0,0,1.6802,0,102.923
188,192.09,0,0,5,1,0,0,2.24752,0,104.45799
189,243.34,0,0,5,1,0,0,2.49596,0,120.91299
190,296.89999,0,0,5,1,0,0,2.5538399,0,137.368
191,329.98001,0,0,4,2,0,0,1.7333601,0,98.959999
192,356.60001,0,0,4,2,0,0,1.398,0,98.959999
193,404.51001,0,0,4,2,0,0,1.8099999,0,187.862
194,226.00999,0,0,5,2,0,0,1.39376,0,84.039993
195,347.23001,0,0,5,2,0,0,2.13908,0,133.405
196,418.25,0,0,6,2,0,0,2.49472,0,167.84999
197,365.82001,0,0,8,2,0,0,3.1903999,0,203.82999
198,320.76999,0,0,8,2,0,0,2.9419601,0,187.375
199,276.76001,0,0,8,2,0,0,2.6935201,0,170.92
200,381.32001,0,0,6,5,0,0,2.6830001,0,106.596
201,244.8,0,0,6,2,0,0,2.4388399,0,116.46899
202,304.70999,0,0,4,2,0,0,2.1723599,0,96.944
203,360.10001,0,0,5,2,0,0,2.2883601,0,131.38899
204,394.39999,0,0,6,2,0,0,3.3747201,0,165.834
205,461.60001,0,0,7,6,0,0,3.096,0,204.00999
206,434.60999,0,0,8,7,0,0,2.8329999,0,126.586
207,452.54999,0,0,8,7,0,0,2.632,0,126.586
208,282.64999,0,0,5,5,0,0,3.3694999,0,72.151001
209,322.89001,0,0,6,6,0,0,3.9823999,0,86.178001
210,318.19,0,0,5,5,0,0,2.7804999,0,68.118996
211,321.39001,0,0,5,5,0,0,2.4135001,0,68.118996
212,285.69,0,0,4,4,0,0,2.3896,0,56.107998
213,404.10999,0,0,8,8,0,0,4.7571998,0,112.216
214,429.76001,0,0,9,9,0,0,5.3701,0,126.243
215,453.38,0,0,10,10,0,0,5.9829998,0,140.27
216,476.26001,0,0,11,11,0,0,6.5959001,0,154.297
217,429.89999,0,0,9,9,0,0,5.3701,0,126.243
218,454.12,0,0,10,10,0,0,5.9829998,0,140.27
219,476.87,0,0,11,11,0,0,6.5959001,0,154.297
220,497.29999,0,0,12,12,0,0,7.2087998,0,168.32399
221,456.47,0,0,10,10,0,0,4.2466002,0,134.222
222,478.60999,0,0,11,11,0,0,4.8594999,0,148.24899
223,499.26001,0,0,12,12,0,0,5.4724002,0,162.276
224,478.19,0,0,10,10,0,0,3.7756,0,134.222
225,471.14999,0,0,10,10,0,0,3.8515999,0,134.222
226,470,0,0,10,10,0,0,3.8515999,0,134.222
227,536.59998,0,0,12,12,0,0,4.7073998,0,162.276
228,601.58002,0,0,19,19,0,0,5.7698998,0,244.33699
229,743,0,0,25,25,0,0,8.0509005,0,320.435
230,514.28998,0,0,11,11,0,0,3.6338999,0,142.201
231,531.47998,0,0,12,12,0,0,4.2407999,0,156.228
232,531.04999,0,0,12,12,0,0,4.2797999,0,156.228
233,468.38,1,1,9,8,0,1,2.7609999,20.23,130.231
234,380.89999,1,1,5,4,0,1,0.90899998,20.23,74.123001
235,562.5,3,3,6,3,0,3,-1.671,60.689999,92.093994
236,478.48001,2,2,8,6,0,2,1.722,37.299999,116.16
237,440.14999,2,0,9,6,0,3,1.112,43.369999,130.14299
238,462.32001,2,2,5,2,0,2,0.34900001,37.299999,94.496994
239,467.17001,2,2,6,2,0,2,0.89736003,37.299999,128.942
240,470.10001,2,2,7,2,0,2,1.30308,37.299999,163.38699
241,417.07001,1,0,8,7,0,1,1.931,17.07,114.188
242,579.16998,1,0,14,13,0,1,3.421,17.07,182.222
243,363.25,1,0,7,6,0,1,2.118,9.2299995,102.17699
244,374.48999,2,0,6,4,0,2,-0.226,18.459999,88.105995
245,397.14999,3,0,9,6,0,3,1.309,27.690001,132.159
246,434.85001,1,0,7,5,0,2,0.54799998,30.209999,96.084999
247,469.91,2,1,9,7,0,2,1.523,37.299999,122.12299
248,395.51999,1,0,8,6,0,2,1.615,26.299999,116.16
249,495.14001,2,1,11,8,0,3,1.5369999,46.529999,152.149
