Iteration,BO(SP-GPR-SC),BO(SP-GPR),BO(GPR),MLR
0,372.12272006607145,372.12272006607145,372.12272006607145,372.12272006607145
1,197.10064393273808,236.4965465660714,286.1707240660715,237.87441948273812
2,73.04869283273811,108.42904149464286,277.33222356607143,173.9561571077381
3,35.46965098392858,73.02606635178572,233.71543513750007,115.89240112559523
4,30.217835085119066,47.08964843511906,183.23441124464287,70.3411294827381
5,24.44453939761905,38.15143550450681,163.40090924464286,41.23821744107142
6,16.674536764285715,34.315586093792525,159.7944914113095,38.306968691071425
7,15.547037764285715,31.368046093792533,157.37840824464286,36.94318668869048
8,11.381289639285717,31.038546260459203,156.28382624464285,22.68327055416665
9,10.299123139285717,27.505438043792527,155.91234574464286,20.782059470833325
10,8.80444969087302,26.693825574404762,155.6464913279762,15.041325113690476
11,8.55661685753968,25.119871274404765,155.5207415779762,13.62375249702381
12,7.370186850595255,22.232921307738092,153.6811171279762,11.580926271533608
13,6.45895691726191,20.486019199404762,153.67399232797618,9.446928021533612
14,6.101281000595236,19.27060319940476,153.4696173279762,8.293198316771711
15,4.933980900595239,19.27060319940476,153.4665176279762,7.1368166255952445
16,4.258897483928567,19.27060319940476,153.4665176279762,6.739217225595249
17,4.258897483928567,18.198105199404765,153.28506154464287,6.643551475595251
18,3.5995406267857133,18.123105199404765,153.28506154464287,6.317049975595251
19,3.2130549767857133,18.123105199404765,153.28506154464287,4.912524125595246
20,2.981576851785718,17.924939586309527,153.28506154464287,3.087731866771719
