,R,G,B
0,0.848524814274,0.801330779262,0.764546729594
1,0.831758592558,0.768219303136,0.732600655366
2,0.844719465325,0.739963417199,0.652803840082
3,0.808864549957,0.797945490851,0.779690592894
4,0.840980294637,0.792829801855,0.780337364083
5,0.78493332217,0.763372676245,0.733962954543
6,0.838031262982,0.763463002247,0.72546047027
7,0.893591028894,0.829374693537,0.808161363854
8,0.78207299588,0.750836687981,0.724208877746
9,0.853155695765,0.800653863349,0.771948395116
10,0.849697888201,0.761933270177,0.716122267328
11,0.864596715532,0.746859246696,0.656676751922
12,0.837763387109,0.773123625892,0.717955744362
13,0.892552553314,0.853143270158,0.862901743118
14,0.882168961679,0.828537674179,0.801481296829
15,0.901624246233,0.815507907089,0.763845049289
16,0.810071071837,0.784942894977,0.753894113878
17,0.80684482103,0.799221468075,0.781186277067
18,0.821396124983,0.790038783046,0.752266067292
19,0.875300491235,0.806231418605,0.804317574498
20,0.806762101324,0.760588606734,0.720970703568
21,0.787293398841,0.765639910715,0.746053718921
22,0.840202009446,0.820613341946,0.80322690091
23,0.851496159401,0.794369678553,0.727512739924
24,0.858981281962,0.832503591176,0.813477473734
25,0.84654336736,0.776400052408,0.739144954812
26,0.838419227238,0.726968300214,0.6468922623
27,0.902040550437,0.87307630405,0.874455436812
28,0.778767464209,0.774583509046,0.747666205677
29,0.824204744468,0.779146049416,0.772809655381
30,0.788464996694,0.757771498909,0.724519438171
31,0.847349783688,0.796505560327,0.778842937315
32,0.838008964562,0.790862110981,0.761515768361
33,0.833792035212,0.722463984938,0.696784150971
34,0.826905377282,0.761502713108,0.741187091826
35,0.817183160531,0.780746476249,0.743893723515
36,0.919986839946,0.886729330809,0.890590389809
37,0.874746649545,0.780285662628,0.709460866329
38,0.849665707649,0.831220487404,0.817585438656
39,0.795075677044,0.691022267259,0.661074748633
40,0.805642306039,0.771361775331,0.730026632152
41,0.901658046681,0.872100075046,0.866256540442
42,0.801068251803,0.761573162945,0.735910153796
43,0.806874818544,0.740727299499,0.709859141399
44,0.7694713884,0.766520126659,0.749061489112
45,0.866060780386,0.841239430772,0.822508809938
46,0.80212156648,0.770665169632,0.735040183789
47,0.838545223422,0.780116241509,0.77378003307
48,0.829525309939,0.752347960959,0.695479346737
49,0.861963537326,0.762149640144,0.691483189624
50,0.87164899702,0.831514198246,0.814133199293
