Iteration,BO(SP-GPR-SC),BO(SP-GPR),BO(GPR),MLR
0,2.676010431050896,2.676010431050896,2.676010431050896,2.676010431050896
1,1.8045559947055192,1.866196801581514,2.1521981708840086,2.3999835007691
2,1.5766578818869834,1.500521543620832,1.960303501804723,1.9528233076545423
3,1.136945666445772,1.4065875908517123,1.7649141468986325,1.6171901814165675
4,0.9330887310811677,1.1674738014008446,1.731791502054224,1.3216431627852407
5,0.8352817523830722,0.9878638568492342,1.5286264853782918,1.220884200992289
6,0.48655193415391,0.9613921157318733,1.239875188804875,1.1283174831427647
7,0.3342995346126722,0.7840744889664523,1.1774195471097497,0.6916509547574969
8,0.19130505089071087,0.37891412474274366,1.0157466681228748,0.6230353925242266
9,0.11080199542191985,0.30015920227204596,0.832255945021027,0.5049880782785131
10,0.08050305546879101,0.2461878247861533,0.7972273451966357,0.3647060169254365
11,0.053971377485892646,0.13681544958930072,0.5849954937257646,0.2467180848349703
12,0.019946336119422432,0.05645118216203201,0.4489038283704641,0.2011265803385299
13,0.019946336119422432,0.04647801410232079,0.3513457044513112,0.18366004889524684
14,0.009973168059711216,0.04647801410232079,0.23083363446400815,0.18366004889524684
15,0.009973168059711216,0.009973168059711216,0.08193267569385827,0.13059669292945011
16,0.0,0.009973168059711216,0.02653167798289836,0.13059669292945011
17,0.0,0.0,0.0,0.11994271966768351
18,0.0,0.0,0.0,0.04647801410232079
19,0.0,0.0,0.0,0.019946336119422432
20,0.0,0.0,0.0,0.009973168059711216
