,PC1,PC2,PC3,PC4,PC5
ベンガラ,-0.3006288727995035,0.5015417931478049,0.6168673929501,0.341737290507849,0.369771909680989
稲荷黄土,-0.4118080073457098,-0.47669646464788373,-0.2852579005905428,-0.3891208887279777,0.5928381511268251
田原白土,0.20143235184562902,-0.607456598067461,0.613120332215997,-0.15686215005371484,-0.4064455082807112
ラスコーブラック,0.6039766905505893,-0.1844762739835011,-0.4079979323117585,0.6212351252329013,0.1541606794914749
伊太利亜緑土,0.47098341422756157,0.5837922155214161,-0.159031627627017,-0.6175669461036101,-0.07284071790024975
碧灰末,-0.6452847439423157,0.1343672670409375,-0.4119063611206984,0.1708666395740567,-0.5863585049477368
