主成分,寄与率,累積寄与率
PC1,0.21671421766655977,0.21671421766655977
PC2,0.20626415011543306,0.4229783677819928
PC3,0.19937268804409922,0.6223510558260921
PC4,0.1810998819424005,0.8034509377684926
PC5,0.17061803112560397,0.9740689688940967
PC6,0.025931031105903533,1.0000000000000002
